2023-04-03 15:41:58:捕获线程内未处理异常：未通过等待任务或访问任务的 Exception 属性观察到任务的异常。因此，终结器线程重新引发了未观察到的异常。
2023-04-03 16:27:39:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:39:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:40:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:40:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:40:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:40:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:41:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:41:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:41:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:41:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:42:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:42:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:42:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:42:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:42:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:43:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:43:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:43:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:44:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:44:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:44:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:44:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:45:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:45:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:45:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:46:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:46:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:46:捕获未处理异常:DialogHost is already open.
2023-04-03 16:27:47:捕获未处理异常:DialogHost is already open.
